Unnamed: 0,datetime,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal,gal_filter
381,2025-03-30 21:17:56.066440,2025-03-30 21:17:56.066440,2025.0,3.0,30.0,21.0,17.0,56.0,116.0275,-60.9,0.0,1307.94
382,2025-03-30 21:18:11.066524,2025-03-30 21:18:11.066524,2025.0,3.0,30.0,21.0,18.0,11.0,116.37375,-61.25,0.0,1307.94
383,2025-03-30 21:18:26.066814,2025-03-30 21:18:26.066814,2025.0,3.0,30.0,21.0,18.0,26.0,66.93875,-11.81,0.0,1307.94
384,2025-03-30 21:18:41.067089,2025-03-30 21:18:41.067089,2025.0,3.0,30.0,21.0,18.0,41.0,45.77375,9.35,272.36,1307.94
385,2025-03-30 21:18:56.066882,2025-03-30 21:18:56.066882,2025.0,3.0,30.0,21.0,18.0,56.0,130.64,-75.51,0.0,1307.94
386,2025-03-30 21:19:11.066798,2025-03-30 21:19:11.066798,2025.0,3.0,30.0,21.0,19.0,11.0,98.3275,-43.2,0.0,1307.94
387,2025-03-30 21:19:26.066495,2025-03-30 21:19:26.066495,2025.0,3.0,30.0,21.0,19.0,26.0,91.6825,-36.56,0.0,1307.94
388,2025-03-30 21:19:41.066524,2025-03-30 21:19:41.066524,2025.0,3.0,30.0,21.0,19.0,41.0,94.69625,-39.57,0.0,1307.94
389,2025-03-30 21:19:56.066614,2025-03-30 21:19:56.066614,2025.0,3.0,30.0,21.0,19.0,56.0,70.52625,-15.4,0.0,1307.94
390,2025-03-30 21:20:11.066485,2025-03-30 21:20:11.066485,2025.0,3.0,30.0,21.0,20.0,11.0,116.24,-61.12,0.0,1307.94
391,2025-03-30 21:20:26.066808,2025-03-30 21:20:26.066808,2025.0,3.0,30.0,21.0,20.0,26.0,105.985,-50.86,0.0,1307.94
392,2025-03-30 21:20:41.066740,2025-03-30 21:20:41.066740,2025.0,3.0,30.0,21.0,20.0,41.0,24.74375,30.38,1106.84,1307.94
393,2025-03-30 21:20:56.066559,2025-03-30 21:20:56.066559,2025.0,3.0,30.0,21.0,20.0,56.0,66.95875000000001,-11.83,0.0,1307.94
394,2025-03-30 21:21:11.066689,2025-03-30 21:21:11.066689,2025.0,3.0,30.0,21.0,21.0,11.0,123.8675,-68.74,0.0,1307.94
395,2025-03-30 21:21:26.066842,2025-03-30 21:21:26.066842,2025.0,3.0,30.0,21.0,21.0,26.0,106.0325,-50.91,0.0,1307.94
396,2025-03-30 21:21:41.067340,2025-03-30 21:21:41.067340,2025.0,3.0,30.0,21.0,21.0,41.0,49.276250000000005,5.85,145.69,1307.94
397,2025-03-30 21:21:56.067007,2025-03-30 21:21:56.067007,2025.0,3.0,30.0,21.0,21.0,56.0,60.06249999999999,-4.94,0.0,1307.94
398,2025-03-30 21:22:11.066868,2025-03-30 21:22:11.066868,2025.0,3.0,30.0,21.0,22.0,11.0,0.0,55.12,1350.32,1307.94
399,2025-03-30 21:22:26.066853,2025-03-30 21:22:26.066853,2025.0,3.0,30.0,21.0,22.0,26.0,113.10125,-57.98,0.0,1307.94
400,2025-03-30 21:22:41.066917,2025-03-30 21:22:41.066917,2025.0,3.0,30.0,21.0,22.0,41.0,60.05875,-4.93,0.0,1307.94
401,2025-03-30 21:22:56.066869,2025-03-30 21:22:56.066869,2025.0,3.0,30.0,21.0,22.0,56.0,57.10625,-1.98,0.0,1307.94
402,2025-03-30 21:23:11.066863,2025-03-30 21:23:11.066863,2025.0,3.0,30.0,21.0,23.0,11.0,84.5675,-29.44,0.0,1307.94
403,2025-03-30 21:23:26.066582,2025-03-30 21:23:26.066582,2025.0,3.0,30.0,21.0,23.0,26.0,67.235,-12.11,0.0,1307.94
404,2025-03-30 21:23:41.066850,2025-03-30 21:23:41.066850,2025.0,3.0,30.0,21.0,23.0,41.0,134.10625,-78.98,0.0,1307.94
405,2025-03-30 21:23:56.066982,2025-03-30 21:23:56.066982,2025.0,3.0,30.0,21.0,23.0,56.0,11.95625,43.17,1350.32,1307.94
406,2025-03-30 21:24:11.067075,2025-03-30 21:24:11.067075,2025.0,3.0,30.0,21.0,24.0,11.0,12.11875,43.01,1350.32,1307.94
407,2025-03-30 21:24:26.066998,2025-03-30 21:24:26.066998,2025.0,3.0,30.0,21.0,24.0,26.0,12.12375,43.0,1350.32,1307.94
408,2025-03-30 21:24:41.067318,2025-03-30 21:24:41.067318,2025.0,3.0,30.0,21.0,24.0,41.0,12.1,43.02,1350.32,1307.94
409,2025-03-30 21:24:56.066798,2025-03-30 21:24:56.066798,2025.0,3.0,30.0,21.0,24.0,56.0,12.32125,42.8,1350.32,1307.94
410,2025-03-30 21:25:11.066894,2025-03-30 21:25:11.066894,2025.0,3.0,30.0,21.0,25.0,11.0,11.9075,43.22,1350.32,1307.94
411,2025-03-30 21:25:26.066763,2025-03-30 21:25:26.066763,2025.0,3.0,30.0,21.0,25.0,26.0,12.11375,43.01,1350.32,1307.94
412,2025-03-30 21:25:41.066926,2025-03-30 21:25:41.066926,2025.0,3.0,30.0,21.0,25.0,41.0,12.1,43.02,1350.32,1307.94
413,2025-03-30 21:25:56.066955,2025-03-30 21:25:56.066955,2025.0,3.0,30.0,21.0,25.0,56.0,12.12875,43.0,1350.32,1307.94
414,2025-03-30 21:26:11.067231,2025-03-30 21:26:11.067231,2025.0,3.0,30.0,21.0,26.0,11.0,12.36875,42.76,1350.32,1307.94
415,2025-03-30 21:26:26.066932,2025-03-30 21:26:26.066932,2025.0,3.0,30.0,21.0,26.0,26.0,11.8925,43.23,1350.32,1307.94
416,2025-03-30 21:26:41.067456,2025-03-30 21:26:41.067456,2025.0,3.0,30.0,21.0,26.0,41.0,12.11875,43.01,1350.32,1307.94
417,2025-03-30 21:26:56.066886,2025-03-30 21:26:56.066886,2025.0,3.0,30.0,21.0,26.0,56.0,12.12375,43.0,1350.32,1307.94
418,2025-03-30 21:27:11.067054,2025-03-30 21:27:11.067054,2025.0,3.0,30.0,21.0,27.0,11.0,12.1,43.02,1350.32,1307.94
419,2025-03-30 21:27:26.066918,2025-03-30 21:27:26.066918,2025.0,3.0,30.0,21.0,27.0,26.0,12.105,43.02,1350.32,1307.94
420,2025-03-30 21:27:41.067471,2025-03-30 21:27:41.067471,2025.0,3.0,30.0,21.0,27.0,41.0,12.09,43.04,1350.32,1307.94
421,2025-03-30 21:27:56.067195,2025-03-30 21:27:56.067195,2025.0,3.0,30.0,21.0,27.0,56.0,12.1475,42.98,1350.32,1307.94
422,2025-03-30 21:28:11.067538,2025-03-30 21:28:11.067538,2025.0,3.0,30.0,21.0,28.0,11.0,12.34,42.78,1350.32,1307.94
423,2025-03-30 21:28:26.067118,2025-03-30 21:28:26.067118,2025.0,3.0,30.0,21.0,28.0,26.0,12.12375,43.0,1350.32,1307.94
424,2025-03-30 21:28:41.067134,2025-03-30 21:28:41.067134,2025.0,3.0,30.0,21.0,28.0,41.0,11.93125,43.19,1350.32,1307.94
425,2025-03-30 21:28:56.067551,2025-03-30 21:28:56.067551,2025.0,3.0,30.0,21.0,28.0,56.0,12.12,43.0,1350.32,1307.94
426,2025-03-30 21:29:11.069468,2025-03-30 21:29:11.069468,2025.0,3.0,30.0,21.0,29.0,11.0,12.11875,43.01,1350.32,1307.94
427,2025-03-30 21:29:26.068742,2025-03-30 21:29:26.068742,2025.0,3.0,30.0,21.0,29.0,26.0,12.11,43.02,1350.32,1307.94
428,2025-03-30 21:29:41.067506,2025-03-30 21:29:41.067506,2025.0,3.0,30.0,21.0,29.0,41.0,12.16625,42.96,1350.32,1307.94
429,2025-03-30 21:29:56.067493,2025-03-30 21:29:56.067493,2025.0,3.0,30.0,21.0,29.0,56.0,12.12375,43.0,1350.32,1307.94
430,2025-03-30 21:30:11.067295,2025-03-30 21:30:11.067295,2025.0,3.0,30.0,21.0,30.0,11.0,12.11,43.02,1350.32,1307.94
431,2025-03-30 21:30:26.067192,2025-03-30 21:30:26.067192,2025.0,3.0,30.0,21.0,30.0,26.0,12.16125,42.96,1350.32,1307.94
432,2025-03-30 21:30:41.070884,2025-03-30 21:30:41.070884,2025.0,3.0,30.0,21.0,30.0,41.0,12.095,43.03,1350.32,1307.94
433,2025-03-30 21:30:56.067960,2025-03-30 21:30:56.067960,2025.0,3.0,30.0,21.0,30.0,56.0,12.13875,42.99,1350.32,1307.94
434,2025-03-30 21:31:11.067851,2025-03-30 21:31:11.067851,2025.0,3.0,30.0,21.0,31.0,11.0,12.1475,42.98,1350.32,1307.94
435,2025-03-30 21:31:26.067433,2025-03-30 21:31:26.067433,2025.0,3.0,30.0,21.0,31.0,26.0,12.12875,43.0,1350.32,1307.94
436,2025-03-30 21:31:41.067950,2025-03-30 21:31:41.067950,2025.0,3.0,30.0,21.0,31.0,41.0,12.1,43.02,1350.32,1307.94
437,2025-03-30 21:32:04.678003,2025-03-30 21:32:04.678003,2025.0,3.0,30.0,21.0,32.0,4.0,9.90875,36.5,1350.32,1307.94
438,2025-03-30 21:32:19.672426,2025-03-30 21:32:19.672426,2025.0,3.0,30.0,21.0,32.0,19.0,26.26875,28.85625,1046.16,1307.94
439,2025-03-30 21:32:34.672206,2025-03-30 21:32:34.672206,2025.0,3.0,30.0,21.0,32.0,34.0,53.84875,1.2762500000000043,16.79,1307.94
440,2025-03-30 21:32:49.672070,2025-03-30 21:32:49.672070,2025.0,3.0,30.0,21.0,32.0,49.0,44.68625,10.43875,314.18,1307.94
